https://openei.org/datasets/files/961/pub/COMMERCIAL_LOAD_DATA_E_PLUS_OUTPUT/USA_CA_Los.Angeles.Intl.AP.722950_TMY3/RefBldgSecondarySchoolNew2004_7.1_5.0_3B_USA_CA_LOS_ANGELES.csv
Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,121.30805487,3.85671322937,0.0,0.0,43.513341876,52.539744,23.4190811675,18.5648211675,4.83426,0.02
 01/01  02:00:00,121.427086738,3.9707103723,0.0,0.0,43.513341876,52.539744,24.5011447079,19.6468847079,4.83426,0.02
 01/01  03:00:00,121.726809982,4.25679848322,0.0,0.0,43.513341876,52.539744,32.0562656099,27.2020056099,4.83426,0.02
 01/01  04:00:00,121.420366651,3.9707103723,0.0,0.0,43.513341876,52.539744,33.3011670624,28.4469070624,4.83426,0.02
 01/01  05:00:00,122.122336829,4.25679848322,0.0,0.0,43.513341876,52.539744,47.8316381281,42.9773781281,4.83426,0.02
 01/01  06:00:00,121.803305121,3.9707103723,0.0,0.0,43.513341876,52.539744,47.790841089,42.936581089,4.83426,0.02
 01/01  07:00:00,122.126914104,4.25679848322,0.0,0.0,43.513341876,52.539744,73.4022983568,59.9576173693,4.83426,8.61042098755
 01/01  08:00:00,110.651060946,7.87027123634,0.0,0.0,43.513341876,52.539744,47.2497691638,42.3955091638,4.83426,0.02
 01/01  09:00:00,104.095026602,4.25679848322,0.0,0.0,43.513341876,52.539744,40.6992737648,35.8450137648,4.83426,0.02
 01/01  10:00:00,103.879187294,3.9707103723,0.0,0.0,43.513341876,52.539744,25.3803553833,20.5260953833,4.83426,0.02
 01/01  11:00:00,103.266963486,3.34263083261,0.0,0.0,43.513341876,52.539744,24.3747259284,12.420153266,4.83426,7.12031266235
 01/01  12:00:00,102.037183498,1.20025576153,0.0,0.0,43.513341876,52.539744,9.02124974746,2.67196322795,4.83426,1.51502651951
 01/01  13:00:00,99.9843437012,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.105996845,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  15:00:00,100.134506935,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,100.091806215,0.0,0.0,0.0,43.513341876,52.539744,13.4446926079,0.0,4.83426,8.61043260793
 01/01  17:00:00,105.831776787,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,117.716106831,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,117.654472769,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.053399468,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  21:00:00,118.005294242,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,121.162603535,3.39497079425,0.0,0.0,43.513341876,52.539744,20.5832332888,7.1386033702,4.83426,8.61036991863
 01/01  23:00:00,121.89286554,4.41381836814,0.0,0.0,43.513341876,52.539744,17.3263907599,12.4721307599,4.83426,0.02
 01/01  24:00:00,121.933711504,3.49965071753,0.0,0.0,43.513341876,52.539744,18.5711474992,13.7168874992,4.83426,0.02
 01/02  01:00:00,122.026588734,4.57083825307,0.0,0.0,43.513341876,52.539744,26.0013667022,21.1471067022,4.83426,0.02
 01/02  02:00:00,121.097995265,3.65667060245,0.0,0.0,43.513341876,52.539744,28.9781943483,24.1239343483,4.83426,0.02
 01/02  03:00:00,122.031870849,4.57083825307,0.0,0.0,43.513341876,52.539744,45.9336368593,32.4831137029,4.83426,8.61626315638
 01/02  04:00:00,121.132364855,3.65667060245,0.0,0.0,43.513341876,52.539744,35.4610068564,30.6067468564,4.83426,0.02
 01/02  05:00:00,122.480864865,4.57083825307,0.0,0.0,43.513341876,52.539744,44.8373856861,39.9831256861,4.83426,0.02
 01/02  06:00:00,121.520127026,3.65667060245,0.0,0.0,43.513341876,52.539744,46.9458040443,42.0915440443,4.83426,0.02
 01/02  07:00:00,190.931178608,70.3382633691,0.0,0.0,43.513341876,53.238744,2114.42346676,2100.97282252,4.83426,8.61638424306
 01/02  08:00:00,352.755027877,70.3382633691,0.0,0.0,220.879908,53.238744,1577.06197474,1554.72702753,4.83426,17.5006872103
 01/02  09:00:00,441.858861729,70.3382633691,0.00135701396336,0.0,220.879908,145.652643033,1148.67578837,1086.01990319,36.25695,26.3989351761
 01/02  10:00:00,441.900263279,70.3382633691,0.0020478352324,0.0,220.879908,145.652643033,905.847103276,834.072170797,36.25695,35.5179824791
 01/02  11:00:00,447.806787894,70.3382633691,0.00132581005114,0.0,220.879908,151.653867033,700.903646728,617.003137235,48.3426,35.5579094925
 01/02  12:00:00,448.337215022,70.3382633691,0.0,0.0,220.879908,151.653867033,464.938178998,380.929362628,48.3426,35.6662163691
 01/02  13:00:00,447.53563919,70.3382633691,0.0900038406064,0.0,220.879908,151.653867033,349.589636742,256.55027415,48.3426,44.6967625929
 01/02  14:00:00,450.050899491,70.3382633691,8.12497257105,0.0,220.879908,145.652643033,268.445450062,199.510146841,24.1713,44.7640032211
 01/02  15:00:00,473.687270058,70.3629259944,31.4654000579,0.0,220.879908,145.652643033,209.453319998,149.754346088,24.1713,35.5276739093
 01/02  16:00:00,460.960155209,70.3480679919,26.8892398651,0.0,220.879908,137.835547516,189.126225253,148.707496966,4.83426,35.5844682872
 01/02  17:00:00,435.684253439,70.3382633691,1.20243322515,0.0,220.879908,133.019064,156.018732232,115.852102833,4.83426,35.3323693981
 01/02  18:00:00,366.675632115,70.3382633691,0.0,0.0,220.879908,53.238744,348.795316608,317.454335764,4.83426,26.506720844
 01/02  19:00:00,366.761465993,70.3382633691,0.0,0.0,220.879908,53.238744,426.012859617,385.733874527,4.83426,35.44472509
 01/02  20:00:00,367.237976867,70.3382633691,0.0,0.0,220.879908,53.238744,436.507630836,422.99693992,4.83426,8.67643091615
 01/02  21:00:00,367.284840826,70.3382633691,0.0,0.0,220.879908,53.238744,460.366680473,446.865067679,4.83426,8.66735279469
 01/02  22:00:00,117.843598414,0.0,0.0,0.0,43.513341876,52.539744,13.5013829461,0.0,4.83426,8.66712294612
 01/02  23:00:00,117.620479067,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  24:00:00,118.63563807,0.0,0.0,0.0,43.513341876,52.539744,13.4624851455,0.0,4.83426,8.62822514546
 01/03  01:00:00,117.67924016,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  02:00:00,117.676607087,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  03:00:00,117.672391786,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  04:00:00,117.66814325,0.0,0.0,0.0,43.513341876,52.539744,13.4505753504,0.0,4.83426,8.61631535038
 01/03  05:00:00,119.780834699,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  06:00:00,119.441283141,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  07:00:00,190.581176586,70.3382633691,0.0,0.0,43.513341876,53.238744,1027.80889792,1022.95463792,4.83426,0.02
 01/03  08:00:00,352.46718261,70.3382633691,0.0,0.0,220.879908,53.238744,893.996253674,862.920004947,4.83426,26.2419887267
 01/03  09:00:00,441.886291963,70.3382633691,0.001592689127,0.0,220.879908,145.652643033,757.220051955,694.566086036,36.25695,26.3970159192
 01/03  10:00:00,441.940021511,70.3382633691,0.0,0.0,220.879908,145.652643033,763.207637662,691.436537671,36.25695,35.5141499904
 01/03  11:00:00,447.95987545,70.3382633691,0.00154400075671,0.0,220.879908,151.653867033,751.943091443,668.046494723,48.3426,35.5539967198
 01/03  12:00:00,448.925205937,70.3382633691,0.0,0.0,220.879908,151.653867033,663.603990515,579.588559655,48.3426,35.6728308602
 01/03  13:00:00,448.000823031,70.3382633691,0.0,0.0,220.879908,151.653867033,631.541260187,538.503718066,48.3426,44.6949421215
 01/03  14:00:00,441.9105074,70.3382633691,0.0,0.0,220.879908,145.652643033,590.044470379,521.111849142,24.1713,44.7613212366
 01/03  15:00:00,441.965815843,70.3382633691,0.0,0.0,220.879908,145.652643033,597.520032743,537.815075427,24.1713,35.5336573165
 01/03  16:00:00,434.188024642,70.3429241924,0.0,0.0,220.879908,137.835547516,541.436726096,501.020796507,4.83426,35.5816695882
 01/03  17:00:00,432.115546549,70.3382633691,0.0,0.0,220.879908,133.019064,413.186774627,381.846642078,4.83426,26.5058725492
 01/03  18:00:00,367.267457403,70.3382633691,0.0,0.0,220.879908,53.238744,500.355914411,460.189960184,4.83426,35.3316942262
